,WOB Verzoek,Onderwerp,Datum van binnenkomst,Datum van antwoord,"Aantal dagen 
in behandeling","Binnen de 
termijn afgehandeld",Omvang document (aantal pagina's),Volledig verstrekte documenten,Deels verstrekte documenten,Niet verstrekte documenten,"Aantal overwogen 
documenten","Aantal dagen nodig 
gehad per document",Soort aanvraag,Bijzonderheden,URL,Ministerie
17,134,Aantal klachten van een bepaald tandbleekmiddel,2020-08-28,2021-03-18,202,Nee,4.0,,1 overzicht,,1.0,202.0,"Verzoek om informatie over het aantal klachten van een bepaald tandbleekmiddel, die bij de NVWA zijn binnengekomen over een bepaalde website met vermelding van de periode waarin de melding is gedaan",,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/18/besluit-op-wob-verzoek-over-het-aantal-klachten-van-een-bepaald-tandbleekmiddel,LNV
18,186,Schattersvergaderingen ruilverkaveling Noordpolder,2020-08-25,2021-01-15,143,Nee,4.0,,,,0.0,,Verzoek om informatie over schattersvergaderingen van de ruilverkaveling Noordpolder,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/01/15/besluit-op-wob-verzoek-over-schattersvergaderingen-ruilverkaveling-noordpolder,LNV
19,93,Verrijkingsmateriaal in varkensstallen,2020-08-04,2021-05-27,296,Nee,4.0,1 overzicht,,,1.0,296.0,Verzoek om informatie over inspecties van verrijkingsmateriaal in varkensstallen,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/05/27/besluit-wob-verzoek-verrijkingsmateriaal-in-varkensstallen,LNV
20,107,Inspecties stalklimaat varkens,2020-02-03,2021-04-30,452,Nee,4.0,,,,0.0,,Verzoek om informatie over inspecties stalklimaat varkens over de periode 1 april 2018 t/m 3 februari 2020,Verzoek afgewezen omdat de relevante documenten  reeds openbaar zijn,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/04/30/besluit-op-wob-verzoek-over-inspecties-stalklimaat-varkens,LNV
21,19,CITES-vergunningen Dolfinarium,2021-08-27,2021-10-01,35,Ja,5.0,,,"Niet verstrekt want reeds openbaar:
1 vergunning
1 bevestiging
2 Publicatieblad EU",4.0,8.75,Verzoek om informatie over CITES in- en uitvoervergunningen voor het Dolfinarium in Harderwijk,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/10/01/besluit-wob-verzoek-cites-vergunningen-dolfinarium,LNV
22,17,Meldingen van illegale dodingen van dieren,2021-06-24,2021-10-07,105,Nee,5.0,1 overzicht,,,1.0,105.0,Verzoek om informatie over een overzicht van alle meldingen van illegale dodingen van dieren vanaf 2012 tot 25 juni 2021,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/10/07/besluit-op-wob-verzoek-over-meldingen-van-illegale-dodingen-van-dieren-vanaf-2012-tot-25-juni-2021,LNV
23,144,PAS-meldingen,2021-01-27,2021-03-04,36,Ja,5.0,,1 overzicht,,1.0,36.0,Verzoek om informatie over de meldingen in verband met het Programma aanpak stikstof (PAS-meldingen) van agrarische bedrijven en van niet-agrarische bedrijven over de periode vanaf 1 juli 2015,Betreft herziene beslissing op bezwaar,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/04/herziene-beslissing-op-bezwaar-wob-verzoek-pas-meldingen,LNV
24,154,Register zelfzuivelaars,2020-12-29,2021-02-25,58,Nee,5.0,,,,0.0,,Verzoek om documenten over het register van zelfzuivelaars en melk verwerkende bedrijven in het jaar 2021,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/02/25/besluit-wob-verzoek-register-zelfzuivelaars,LNV
25,229,Gecombineerde opgave van een familie in Nistelrode,2020-10-19,2020-11-17,29,Ja,5.0,,,,0.0,,Verzoek om informatie over de Gecombineerde opgave van een familie in Nistelrode over de periode 2018 tot en met 2020,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/11/17/besluit-op-wob-verzoek-over-gecombineerde-opgave-van-een-familie-in-nistelrode,LNV
26,209,Aanvragen vergunningen vier luchthavens,2020-10-09,2020-12-08,60,Nee,5.0,,,"Niet verstrekt op grond van WOB:
4 vergunningen",4.0,15.0,Verzoek om informatie over aanvragen vergunningen vier luchthavens,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/12/08/besluit-op-wob-verzoek-over-aanvragen-vergunningen-vier-luchthavens,LNV
27,227,Gesloten pootringen toekans,2020-09-18,2020-11-17,60,Nee,5.0,,,,0.0,,Verzoek om informatie over gesloten pootringen bij toekans,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/11/17/besluit-wob-verzoek-gesloten-pootringen-toekans,LNV
28,207,Luchtkwaliteit bij varkenstallen,2020-08-04,2020-12-08,126,Nee,5.0,1 overzicht,,,1.0,126.0,Verzoek om informatie over luchtkwaliteit bij varkenstallen,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/12/08/besluit-op-wob-verzoek-over-luchtkwaliteit-bij-varkenstallen,LNV
29,211,Dierenkadavers,2019-01-19,2020-12-03,684,Nee,5.0,,1 verzoek,,1.0,684.0,Verzoek om informatie over de aanvrager van Wob-verzoek 18-0867 over dierenkadavers,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/12/03/besluit-op-wob-verzoek-over-wob-verzoek-dierenkadavers,LNV
30,61,Bezoek NVWA aan bedrijf vanwege melding welzijn vijvervissen,2021-04-13,2021-07-09,87,Nee,6.0,,1 inspectiebevindingen,,1.0,87.0,Verzoek om informatie over een inspectiebezoek door de Nederlandse Voedsel- en Warenautoriteit (NVWA) aan een bedrijf vanwege een melding over het welzijn van vijvervissen,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/07/09/besluit-op-wob-verzoek-over-bezoek-nvwa-aan-bedrijf-vanwege-melding-welzijn-vijvervissen,LNV
31,30,POP3 project Mierbeek,2021-03-28,2021-09-15,171,Nee,6.0,,,"Niet verstrekt want reeds openbaar:
1 rapport",1.0,171.0,"Verzoek om informatie over aanvullende documenten over het POP3 project 'Mierbeek', herinrichting van het gebied van Beekdalen",,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/09/15/besluit-op-wob-verzoek-over-pop3-project-mierbeek,LNV
32,112,Handhaving Meststoffenwet intermediaire ondernemingen,2021-02-12,2021-04-20,67,Nee,6.0,,,,0.0,,Verzoek om informatie over de handhaving van de Meststoffenwet bij intermediaire ondernemingen,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/04/20/besluit-wob-verzoek-handhaving-meststoffenwet-intermediaire-ondernemingen,LNV
33,213,Verblijfruimtes olifanten Blijdorp,2020-10-16,2020-12-03,48,Ja,6.0,,,,0.0,,Verzoek om informatie over verblijfsruimtes van olifanten van een dierentuin te Blijdorp,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/12/03/besluit-op-wob-verzoek-verblijfruimtes-olifanten-blijdorp,LNV
34,222,Een specifieke fokker van honden,2020-08-14,2020-11-23,101,Nee,6.0,,1 rapport,,1.0,101.0,Verzoek om informatie verzocht over een specifieke fokker van honden,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/11/23/besluit-op-een-wob-verzoek-over-een-specifieke-fokker-van-honden,LNV
35,168,Indicatorenlijsten flora en fauna,2020-05-22,2021-02-04,258,Nee,6.0,,2 controleformulieren,,2.0,129.0,"Verzoek om indicatorenlijsten waarop de soorten planten, dieren en vissen vermeld staan die op de natuurstroken rondom de door de verzoeker gepachte percelen voorkomen",,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/02/04/besluit-wob-verzoek-indicatorenlijsten-flora-en-fauna,LNV
36,173,Slachthuizen Groningen en Drenthe,2018-06-19,2021-02-02,959,Nee,6.0,,,,517.0,1.8549323017408124,Verzoek om alle rapporten over slachthuizen in de provincies Drenthe en Groningen uit de periode 1 januari 2016 tot en met 19 juni 2018,Documenten zijn op te vragen bij NVWA,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/02/02/besluit-wob-verzoek-over-slachthuizen-groningen-en-drenthe,LNV
37,8,Aangevoerde en afgevoerde mest Alte Picardiekanaal 24 in Coevorden,2021-09-01,2021-10-19,48,Ja,7.0,,,"Niet verstrekt want reeds openbaar:
1 overzicht",1.0,48.0,Verzoek om informatie over aangevoerde en afgevoerde mest van het bedrijf op het adres Alte Picardiekanaal 24 in Coevorden,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/10/19/besluit-wob-verzoek-aangevoerde-en-afgevoerde-mest-alte-picardiekanaal-24-in-coevorden,LNV
38,74,CITES-adviezen Uromastyx dispar,2021-06-18,2021-06-25,7,Ja,7.0,,1 advies,,1.0,7.0,Verzoek om informatie over alle adviezen van de Wetenschappelijke Autoriteit CITES over de soort Uromastyx dispar in de periode 2007 tot en met 2009,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/06/25/besluit-op-wob-verzoek-over-cites-adviezen-uromastyx-dispar,LNV
39,81,CITES-adviezen Uromastyx princeps,2021-06-05,2021-06-16,11,Ja,7.0,,1 advies,,1.0,11.0,Verzoek om informatie over alle adviezen van de Wetenschappelijke Autoriteit CITES over de soort Uromastyx princeps in de periode 2013 tot en met 2021,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/06/16/besluit-wob-verzoek-cites-adviezen-uromastyx-princeps,LNV
40,117,Beschermde diersoorten opgenomen in CITES verdrag,2021-02-03,2021-04-09,65,Nee,7.0,,,"Niet verstrekt op grond van WOB:
1 lijst",1.0,65.0,Verzoek om informatie over beschermde diersoorten opgenomen in CITES verdrag (Convention on International Trade in Endangered Species of wild flora and fauna),,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/04/09/besluit-op-wob-verzoek-over-beschermde-diersoorten-opgenomen-in-cites-verdrag,LNV
41,114,Rapport 97-20-0246 over welzijn paarden,2021-01-09,2021-04-16,97,Nee,7.0,,1 rapport,,1.0,97.0,"Verzoek om informatie over het volledige rapport inclusief beeldmateriaal, de daaruit voortgevloeide adviezen, opgelegde maatregelen en het eindoordeel van de inspectie met rapportnummer 97/20/0246",,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/04/16/besluit-op-wob-verzoek-over-rapport-97-20-0246-over-welzijn-paarden,LNV
42,124,Lijst erkende kopers van melk,2020-12-22,2021-04-06,105,Nee,7.0,,,"Niet verstrekt want reeds openbaar:
1 beantwoording
1 Kamerstuk",2.0,52.5,Verzoek om informatie over de lijst erkende kopers van melk,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/04/06/besluit-op-wob-verzoek-over-de-lijst-erkende-kopers-van-melk,LNV
43,160,20-0860 traces over de import van puppy’s naar Lelystad,2020-11-16,2021-02-18,94,Nee,7.0,,2 lijsten,,2.0,47.0,Verzoek om informatie over de import van puppy’s naar Lelystad van september 2019 tot 16 november 2020,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/02/18/besluit-wob-verzoek-20-0860-traces-over-de-import-van-puppys-naar-lelystad,LNV
44,139,Opslaglocaties en taxaties van in beslag genomen dieren,2020-10-29,2021-03-11,133,Nee,7.0,,,,0.0,,Verzoek om informatie over opslaglocaties en taxaties van in beslag genomen dieren,Verzoek afgewezen omdat er geen relevante documenten  zijn aangetroffen bij het ministerie,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/11/besluit-op-wob-verzoek-over-opslaglocaties-en-taxaties-van-in-beslag-genomen-dieren,LNV
45,180,Dierenwelzijnsovertredingen pluimveeslachterij,2019-04-03,2021-01-29,667,Nee,7.0,2 overzichten,,,2.0,333.5,Verzoek om informatie over alle dierenwelzijnsovertredingen begaan op de locatie van een pluimveeslachterij over de jaren 2016 tot en met 2018,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/01/29/besluit-op-wob-verzoek-19-0442-over-dierenwelzijnsovertredingen-pluimveeslachterij,LNV
46,210,Vangschade bij pluimveeslachterijen,2019-01-28,2020-12-07,679,Nee,7.0,,3 overzichten,,3.0,226.33333333333334,Verzoek om informatie over vangschade bij pluimveeslachterijen,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/12/07/besluit-op-wob-verzoek-over-vangschade-bij-pluimveeslachterijen,LNV
47,11,Varkenshouderij in Oijen,2021-07-27,2021-10-12,77,Nee,8.0,1 overzicht,,,1.0,77.0,Verzoek om informatie waaruit blijkt dat de varkenshouderij aan de Oijense Bovendijk 19 in Oijen de afgelopen 5 jaar in bedrijf is geweest,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/10/12/besluit-wob-verzoek-over-varkenshouderij-in-oijen,LNV
48,32,Controles Europese Houtverordening,2021-04-26,2021-09-10,137,Nee,8.0,,1 rapport,,1.0,137.0,Verzoek om rapportages over de controle op de naleving van de Houtverordening van de Europese Unie bij importen van hout uit Brazilië door 2 houtbedrijven in de periode januari-december 2020 en opgelegde bestuurlijke maatregelen,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/09/10/besluit-wob-verzoek-controles-europese-houtverordening,LNV
49,45,Inspectierapport varkensbedrijf,2021-03-30,2021-08-11,134,Nee,8.0,,1 rapport,,1.0,134.0,Verzoek om het inspectierapport van een varkensbedrijf,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/08/11/besluit-wob-verzoek-inspectierapport-varkensbedrijf,LNV
50,143,Perceelsgebruik in Steenbergen en Nieuw-Vossemeer,2020-12-14,2021-03-09,85,Nee,8.0,,1 overzicht,,1.0,85.0,"Verzoek om informatie over welke agrarische ondernemer(s) percelen te Steenbergen en te Nieuw-Vossemeer in
gebruik hebben opgegeven in de Gecombineerde opgaven over de periode 2016 tot en met 2020",,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/09/besluit-op-wob-verzoek-over-perceelsgebruik-in-steenbergen-en-nieuw-vossemeer,LNV
51,195,Geregistreerde varkens,2020-11-09,2020-12-28,49,Ja,8.0,,1 overzicht,,1.0,49.0,Verzoek om informatie over geregistreerde varkens op een locatie in Stein,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/12/28/besluit-op-wob-verzoek-over-geregistreerde-varkens,LNV
52,169,Klachten diervoederwebsite,2020-10-19,2021-02-03,107,Nee,8.0,,3 klachten,"Niet verstrekt op grond van WOB:
3 afbeeldingen",6.0,17.833333333333332,Verzoek om informatie over klachten over een website die diervoeding aanbiedt,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/02/03/besluit-wob-verzoek-klachten-diervoederwebsite,LNV
53,208,"Het gebruik van een aantal percelen in Drachten, Halsteren, 
Oosterhout en Wijdewormer",2020-10-05,2020-12-08,64,Nee,8.0,,1 overzicht,,1.0,64.0,"Verzoek om documenten aangaande de naam van de gebruikers en gegevens over het gebruik van een aantal percelen in Drachten, Halsteren, Oosterhout en Wijdewormer",,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/12/08/besluit-op-wob-verzoek-over-het-gebruik-van-een-aantal-percelen-in-drachten-halsteren-oosterhout-en-wijdewormer,LNV
54,194,Dieraantallen en hoeveelheid grond bij melkveebedrijf te Blijham,2020-09-29,2020-12-29,91,Nee,8.0,1 overzicht,,,1.0,91.0,Verzoek om informatie over dieraantallen en hoeveelheid grond behorend bij melkveebedrijf te Blijham over de periode van 2003 tot en met heden,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/12/29/besluit-op-wob-verzoek-dieraantallen-en-hoeveelheid-grond-bij-melkveebedrijf-te-blijham,LNV
55,225,Overdracht bedrijf Hijink naar VOF Schotman en Zn,2020-09-21,2020-11-19,59,Nee,8.0,2 overzichten,,,2.0,29.5,Verzoek om informatie over een melding van een overdracht van het bedrijf Hijink naar VOF Schotman en Zn,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2020/11/19/besluit-op-wob-verzoek-overdracht-bedrijf-hijink-naar-vof-schotman-en-zn,LNV
56,178,Standpunt dat herik tot mosterdallergenen behoort,2020-07-06,2021-01-29,207,Nee,8.0,,1 mail(wisseling),"Niet verstrekt want reeds openbaar:
4 mail(wisselingen)",5.0,41.4,Verzoek om informatie over correspondentie of documenten die hebben geleid tot het standpunt van de NVWA dat herik tot de mosterdallergenen behoort,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/01/29/besluit-op-wob-verzoek-over-standpunt-dat-herik-tot-mosterdallergenen-behoort,LNV
57,34,Handhavingsverzoek tegen hondenfokker,2021-05-20,2021-09-06,109,Nee,9.0,,1 beslissing,,1.0,109.0,Verzoek om de beslissing van de Nederlandse Voedsel- en Warenautoriteit op het bezwaar tegen de afwijzing van een verzoek om handhaving tegen een hondenfokker,Betreft beslissing op bezwaar,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/09/06/besluit-wob-verzoek-beslissing-op-bezwaar-handhavingsverzoek-tegen-fokker,LNV
58,171,Inspectierapporten van een pluimveehouderij,2020-10-18,2021-02-03,108,Nee,9.0,,2 rapporten,,2.0,54.0,Verzoek om informatie over inspectierapporten van een pluimveehouderij over de periode 2011 tot heden,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/02/03/besluit-op-wob-verzoek-over-inspectierapporten-van-een-pluimveehouderij,LNV
59,176,Fusieproces Netherlands Food Partnership,2020-10-08,2021-01-29,113,Nee,9.0,,,,146.0,0.773972602739726,Verzoek om informatie over het fusieproces van AgriProFocus en het Food & Business Knowledge Platform tot de Netherlands Food Partnership (NFP),,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/01/29/besluit-op-wob-verzoek-fusieproces-netherlands-food-partnership,LNV
60,25,Percelen in gemeente IJsselmuiden,2021-03-18,2021-09-22,188,Nee,10.0,1 overzicht,,,1.0,188.0,Verzoek om informatie over contracten die zijn aangegaan door Rijksdienst voor Ondernemend Nederland (RVO) vanaf 2005 tot heden van percelen in IJsselmuiden met als sectienummer 1,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/09/22/besluit-op-wob-verzoek-over-percelen-in-gemeente-ijsselmuiden,LNV
61,70,Eendenhouderijen,2021-02-10,2021-06-29,139,Nee,10.0,,1 verklaring,,1.0,139.0,Verzoek om informatie over een aantal eendenhouderijen en/of bedrijven die zich bezighouden met het vangen van eenden,Betreft beslissing op bezwaar,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/06/29/beslissing-op-bezwaar-tegen-wob-besluit-over-eendenhouderijen,LNV
62,88,Verkoper van honden,2021-02-09,2021-06-02,113,Nee,10.0,1 overzicht,1 rapport,,2.0,56.5,Verzoek om informatie over een specifieke verkoper van honden,,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/06/02/besluit-wob-verzoek-over-verkoper-van-honden,LNV
63,43,"Aanvragen, afwijzingen en bezwaarschriften TVL- SBI",2021-05-10,2021-08-13,95,Nee,11.0,4 excelsheets,,,4.0,23.75,"Verzoek om informatie over aanvragen, afwijzingen en bezwaarschriften TVL (Tegemoetkoming Vaste Lasten) - SBI 9604 Sauna's, solaria, baden e.d.  (Standaard Bedrijfsindeling) en TOGS (Tegemoetkoming Ondernemers Getroffen Sectoren COVID-19)",,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/08/13/besluit-op-wob-verzoek-over-aanvragen-afwijzingen-en-bezwaarschriften-tvl--sbi,LNV
